iter	Logloss
0	0.6002216184
1	0.5423164286
2	0.5078851513
3	0.4814821227
4	0.4650562112
5	0.4547942299
6	0.4460246377
7	0.4374126097
8	0.4336889264
9	0.42865983
10	0.4253898606
11	0.4230759632
12	0.4205566082
13	0.4180396188
14	0.4167233563
15	0.4153709308
16	0.4137091356
17	0.4126279566
18	0.4117401462
19	0.4109549498
20	0.4101555887
21	0.4095857254
22	0.4087347638
23	0.4077694625
24	0.4069812765
25	0.4062992461
26	0.4057440258
27	0.4051409305
28	0.4048361227
29	0.4043005431
30	0.4037478441
31	0.4034186858
32	0.4031642902
33	0.4028444892
34	0.402618035
35	0.402365083
36	0.402157913
37	0.4016987319
38	0.4014637878
39	0.4012422501
40	0.4009135559
41	0.4006969124
42	0.4006099776
43	0.4004376874
44	0.3995818593
45	0.3989111221
46	0.398724385
47	0.3984277415
48	0.3980366629
49	0.3978677128
50	0.3976863851
51	0.3973579642
52	0.3972089635
53	0.3967580912
54	0.3964562774
55	0.3962732497
56	0.3957142767
57	0.3952779469
58	0.3950028544
59	0.3945446318
60	0.3942809186
61	0.3938200718
62	0.3935159114
63	0.3932793129
64	0.3930156768
65	0.3922067849
66	0.3916996879
67	0.3914173227
68	0.3910439477
69	0.3908088997
70	0.3905729113
71	0.3902519755
72	0.3900155415
73	0.3895552486
74	0.3890745638
75	0.388690142
76	0.3882983716
77	0.387951111
78	0.3875564656
79	0.3872371812
80	0.3869057691
81	0.3866486464
82	0.386255664
83	0.3857748835
84	0.3856007478
85	0.3854211424
86	0.3850562319
87	0.3847336126
88	0.3843842893
89	0.3840718125
90	0.3838189517
91	0.383482737
92	0.3832336057
93	0.382794449
94	0.3825741678
95	0.3824321441
96	0.3823067741
97	0.3818691368
98	0.3814361957
99	0.3812539669
